state_name,year,vmt
Michigan,2018,101757198694.87999
Minnesota,2018,59970853922.604996
Mississippi,2018,40877098021.4
Missouri,2018,75911316240.14
Montana,2018,12644672358.210003
Nebraska,2018,21002014792.975
Nevada,2018,27587009714.8
New Hampshire,2018,13681376626.409998
New Jersey,2018,77508602309.2
New Mexico,2018,27835850140.000004
New York,2018,123476604631.55
North Carolina,2018,119176368633.175
North Dakota,2018,9716836373.595
Ohio,2018,119597966675.65999
Oklahoma,2018,49402260404.0
Oregon,2018,36752883291.2
Pennsylvania,2018,101614053851.17
Rhode Island,2018,8000980443.735001
South Carolina,2018,55497235730.84499
South Dakota,2018,9642559370.869999
Tennessee,2018,82253263968.79999
Texas,2018,272980907045.47498
Utah,2018,31475025710.989998
Vermont,2018,7424419886.0
Virginia,2018,85262944946.11
Washington,2018,61419924864.48
West Virginia,2018,19072335445.284996
Wisconsin,2018,65323709268.74
Wyoming,2018,9784665268.215
Alabama,2019,71734627810.505
Alaska,2019,5881303127.635
Arizona,2019,70280646468.26001
Arkansas,2019,37099019817.925
California,2019,340836251518.84503
Colorado,2019,54633554509.9
Connecticut,2019,31600848355.499996
Delaware,2019,10245158916.149998
District of Columbia,2019,3756069754.7099996
Florida,2019,226514416127.42502
Georgia,2019,133127658222.52501
Hawaii,2019,11024004901.465
Idaho,2019,18057661576.0
Illinois,2019,107524644466.35
Indiana,2019,82719122994.095
Iowa,2019,33537019038.245003
Kansas,2019,31842519928.27
Kentucky,2019,49410331813.94501
Louisiana,2019,51360303241.62501
Maine,2019,14871468159.21
Maryland,2019,60215893738.734985
Massachusetts,2019,64889782236.69
Michigan,2019,102173717544.9
Minnesota,2019,60730981097.20999
Mississippi,2019,41090910551.245
Missouri,2019,79168249875.35498
Montana,2019,12891947533.145
Nebraska,2019,21241792157.95
Nevada,2019,28793737433.17
New Hampshire,2019,13828121483.369999
New Jersey,2019,78205297198.84
New Mexico,2019,27772075050.395004
New York,2019,123986154320.95001
North Carolina,2019,122474654018.15001
North Dakota,2019,9826068270.985
Ohio,2019,114693588622.29501
Oklahoma,2019,44648236606.2
Oregon,2019,35808465323.299995
Pennsylvania,2019,102863509771.01999
Rhode Island,2019,7580832257.825
South Carolina,2019,57939397375.87501
South Dakota,2019,9922399543.805
Tennessee,2019,82891770859.59999
Texas,2019,288227235544.49005
Utah,2019,32910675124.460003
Vermont,2019,7345626922.380001
Virginia,2019,85432484153.08
Washington,2019,62529638317.21
West Virginia,2019,19076559660.0
Wisconsin,2019,66347623852.405
Wyoming,2019,10207605647.695
Alabama,2020,67921496840.00001
Alaska,2020,5305888550.0
Arizona,2020,65758279120.00001
Arkansas,2020,33918761910.0
California,2020,299811683070.0
Colorado,2020,48642046600.0
Connecticut,2020,29844938260.0
Delaware,2020,8345229610.0
District of Columbia,2020,3030473970.0
Florida,2020,208075918880.0
Georgia,2020,115966826600.0
Hawaii,2020,8785366540.0
Idaho,2020,17406417620.0
Illinois,2020,94120597360.0
Indiana,2020,76607740490.0
Iowa,2020,29751496740.0
Kansas,2020,27853801890.0
Kentucky,2020,46535806440.0
Louisiana,2020,48374106430.0
Maine,2020,13086417250.0
Maryland,2020,50885123830.0
Massachusetts,2020,54126825580.0
Michigan,2020,86546994930.0
Minnesota,2020,51619441140.0
Mississippi,2020,39665087490.0
Missouri,2020,72797036990.0
Montana,2020,12104091340.0
Nebraska,2020,19431864720.0
Nevada,2020,25231346360.0
New Hampshire,2020,11956255760.0
